Order,Material,REL Date,FO Due Date,CNF Date,DLV Date,Quantity of goods received,Ord.quantity
FO6255599,PN 64405,2022-02-09,2022-02-09,2022-02-09,2022-02-09,4,
FO6255579,PN 65760,2022-02-09,2022-02-09,2022-02-09,2022-02-09,4,
FO6255596,PN 65295,2022-02-09,2022-02-09,2022-02-09,2022-02-09,4,
FO6255595,PN 67619,2022-02-09,2022-02-14,2022-02-10,2022-02-10,4,
FO6255529,PN 64918,2022-02-09,2022-02-10,2022-02-10,2022-02-10,3,
FO6255522,PN 63695,2022-02-09,2022-02-10,2022-02-09,2022-02-09,3,
FO6255527,PN 67904,2022-02-09,2022-02-10,2022-02-09,2022-02-09,3,
FO6255525,PN 67267,2022-02-09,2022-02-10,2022-02-10,2022-02-10,25,
FO6255526,PN 67030,2022-02-09,2022-02-10,2022-02-09,2022-02-09,25,
FO6255572,PN 66874,2022-02-09,2022-02-10,2022-02-09,2022-02-09,50,
FO6255542,PN 67731,2022-02-09,2022-02-10,2022-02-09,2022-02-09,50,
FO6255569,PN 67603,2022-02-09,2022-02-11,2022-02-10,2022-02-10,50,
FO6255566,PN 68836,2022-02-09,2022-02-09,2022-02-09,2022-02-09,50,
FO6255565,PN 69750,2022-02-09,2022-02-10,2022-02-10,2022-02-10,50,
FO6255552,PN 51455,2022-02-09,2022-02-11,2022-02-11,2022-02-11,24,
FO6255556,PN 54779,2022-02-09,2022-02-10,2022-02-10,2022-02-11,32,
FO6255799,PN 69393,2022-02-10,2022-02-11,2022-02-11,2022-02-11,15,
FO6255779,PN 67528,2022-02-10,2022-02-10,2022-02-10,2022-02-10,50,
FO6255225,PN 66740,2022-02-10,2022-02-11,2022-02-11,2022-02-11,1,
FO6255226,PN 66453,2022-02-10,2022-02-10,2022-02-10,2022-02-10,1,
FO6255222,PN 64556,2022-02-10,2022-02-11,2022-02-11,2022-02-11,5,
FO6255229,PN 67991,2022-02-10,2022-02-11,2022-02-10,2022-02-10,5,
FO6255279,PN 68656,2022-02-10,2022-02-11,2022-02-11,2022-02-11,6,
FO6255272,PN 67157,2022-02-10,2022-02-10,2022-02-10,2022-02-10,6,
FO6255220,PN 65488,2022-02-10,2022-02-14,2022-02-11,2022-02-11,50,
FO6255227,PN 66927,2022-02-10,2022-02-14,2022-02-11,2022-02-11,50,
FO6256677,PN 64405,2022-02-11,2022-02-11,2022-02-11,2022-02-11,3,
FO6256643,PN 65760,2022-02-11,2022-02-11,2022-02-11,2022-02-11,3,
FO6256642,PN 69335,2022-02-11,2022-02-11,2022-02-11,2022-02-11,3,
FO6256667,PN 67949,2022-02-11,2022-02-11,2022-02-11,2022-02-11,30,
FO6262955,PN 70107,2022-01-20,2022-01-28,2022-01-28,2022-02-17,1,
FO6269657,PN 70002,2022-01-24,2022-02-17,2022-02-17,2022-02-17,6,
FO6269652,PN 70002,2022-01-24,2022-02-16,2022-02-16,2022-02-16,6,
FO6250295,PN 70115,2022-01-27,2022-02-14,2022-02-14,2022-02-14,5,
FO6259690,PN 60463,2022-01-28,2022-02-16,2022-02-16,2022-02-16,6,
FO6259625,PN 53183,2022-01-28,2022-02-18,2022-02-18,2022-02-18,10,
FO6252429,PN 69931,2022-02-01,2022-02-10,2022-02-10,2022-02-17,1,
FO6252426,PN 70349,2022-02-01,2022-02-15,2022-02-15,2022-02-15,5,
FO6252425,PN 62890,2022-02-01,2022-02-15,2022-02-15,2022-02-15,1,
FO6252422,PN 62904,2022-02-01,2022-02-14,2022-02-14,2022-02-14,4,
FO6252695,PN 56411,2022-02-01,2022-02-15,2022-02-15,2022-02-15,12,
FO6252643,PN 62464,2022-02-02,2022-02-15,2022-02-15,2022-02-15,1,
FO6252642,PN 62464,2022-02-02,2022-02-15,2022-02-15,2022-02-15,1,
FO6252672,PN 62464,2022-02-02,2022-02-16,2022-02-16,2022-02-16,1,
FO6252905,PN 59999,2022-02-02,2022-02-15,2022-02-15,2022-02-15,3,
FO6257002,PN 56561,2022-02-02,2022-02-18,2022-02-18,2022-02-18,,
FO6257090,PN 56030,2022-02-02,2022-02-18,2022-02-18,2022-02-18,55,
FO6257025,PN 62274,2022-02-02,2022-02-14,2022-02-14,2022-02-14,15,
FO6257072,PN 69781,2022-02-02,2022-02-14,2022-02-14,2022-02-14,3,
FO6257043,PN 69931,2022-02-02,2022-02-11,2022-02-11,2022-02-18,1,
FO6254343,PN 61145,2022-02-03,2022-02-15,2022-02-15,2022-02-15,50,
FO6254342,PN 61247,2022-02-03,2022-02-17,2022-02-17,2022-02-17,113,
FO6254390,PN 52109,2022-02-03,2022-02-15,2022-02-15,2022-02-15,29,
FO6254395,PN 70325,2022-02-03,2022-02-15,2022-02-15,2022-02-15,2,
FO6254227,PN 62573,2022-02-03,2022-02-14,2022-02-14,2022-02-14,1,
FO6254226,PN 62573,2022-02-03,2022-02-16,2022-02-16,2022-02-16,1,
FO6254225,PN 62996,2022-02-03,2022-02-16,2022-02-16,2022-02-16,1,
FO6254243,PN 70115,2022-02-03,2022-02-15,2022-02-15,2022-02-15,5,
FO6254279,PN 62890,2022-02-03,2022-02-18,2022-02-18,2022-02-18,1,
FO6254262,PN 70536,2022-02-03,2022-02-18,2022-02-18,2022-02-18,1,
FO6254265,PN 70536,2022-02-03,2022-02-15,2022-02-15,2022-02-16,1,
FO6254269,PN 55661,2022-02-03,2022-02-16,2022-02-16,2022-02-16,8,
FO6254259,PN 51552,2022-02-03,2022-02-17,2022-02-17,2022-02-17,3,
FO6254255,PN 53999,2022-02-03,2022-02-16,2022-02-16,2022-02-16,56,
FO6254296,PN 62464,2022-02-03,2022-02-17,2022-02-17,2022-02-17,1,
FO6254295,PN 62464,2022-02-03,2022-02-18,2022-02-18,2022-02-18,1,
FO6254300,PN 54032,2022-02-03,2022-02-14,2022-02-14,2022-02-15,,
FO6254302,PN 52278,2022-02-03,2022-02-19,2022-02-19,2022-02-19,11,
FO6256095,PN 68113,2022-02-04,2022-02-15,2022-02-15,2022-02-15,25,
FO6256065,PN 67055,2022-02-04,2022-02-14,2022-02-14,2022-02-14,50,
FO6256050,PN 70422,2022-02-04,2022-02-14,2022-02-14,2022-02-14,2,
FO6256070,PN 59995,2022-02-04,2022-02-17,2022-02-17,2022-02-17,18,
FO6256770,PN 57256,2022-02-07,2022-02-11,2022-02-11,2022-02-14,96,
FO6256670,PN 62637,2022-02-07,2022-02-16,2022-02-16,2022-02-16,1,
FO6256672,PN 62637,2022-02-07,2022-02-18,2022-02-18,2022-02-18,1,
FO6256666,PN 70536,2022-02-07,2022-02-19,2022-02-19,2022-02-19,1,
FO6256662,PN 66030,2022-02-07,2022-02-15,2022-02-15,2022-02-15,50,
FO6256656,PN 63450,2022-02-07,2022-02-15,2022-02-15,2022-02-15,20,
FO6256655,PN 63567,2022-02-07,2022-02-15,2022-02-15,2022-02-15,24,
FO6256500,PN 53284,2022-02-07,2022-02-15,2022-02-15,2022-02-15,16,
FO6256509,PN 53045,2022-02-07,2022-02-14,2022-02-14,2022-02-14,10,
FO6256527,PN 56353,2022-02-07,2022-02-17,2022-02-17,2022-02-17,90,
FO6256679,PN 54385,2022-02-08,2022-02-15,2022-02-15,2022-02-15,1,
FO6256960,PN 57880,2022-02-08,2022-02-17,2022-02-17,2022-02-17,15,
FO6255069,PN 70286,2022-02-08,2022-02-15,2022-02-15,2022-02-19,1,
FO6255050,PN 63013,2022-02-08,2022-02-17,2022-02-17,2022-02-17,4,
FO6255056,PN 62683,2022-02-08,2022-02-16,2022-02-16,2022-02-16,4,
FO6255065,PN 66607,2022-02-08,2022-02-17,2022-02-17,2022-02-17,50,
FO6255042,PN 64916,2022-02-08,2022-02-16,2022-02-16,2022-02-16,50,
FO6255909,PN 67055,2022-02-08,2022-02-17,2022-02-17,2022-02-17,50,
FO6255906,PN 67055,2022-02-08,2022-02-17,2022-02-17,2022-02-17,50,
FO6255990,PN 66324,2022-02-08,2022-02-18,2022-02-18,2022-02-18,50,
FO6255995,PN 63661,2022-02-08,2022-02-18,2022-02-18,2022-02-18,20,
FO6255797,PN 61327,2022-02-08,2022-02-17,2022-02-17,2022-02-17,60,
FO6255967,PN 53905,2022-02-08,2022-02-14,2022-02-11,2022-02-14,92,
FO6255965,PN 56520,2022-02-08,2022-02-15,2022-02-15,2022-02-15,96,
FO6255952,PN 59976,2022-02-08,2022-02-15,2022-02-15,2022-02-15,92,
FO6255957,PN 58416,2022-02-08,2022-02-16,2022-02-15,2022-02-15,45,
FO6255955,PN 58202,2022-02-08,2022-02-11,2022-02-11,2022-02-14,32,
FO6255792,PN 59964,2022-02-08,2022-02-11,2022-02-11,2022-02-14,3,
FO6255296,PN 51659,2022-02-08,2022-02-18,2022-02-18,2022-02-18,11,
FO6255669,PN 62208,2022-02-09,2022-02-16,2022-02-16,2022-02-16,4,
FO6255626,PN 55788,2022-02-09,2022-02-11,2022-02-11,2022-02-14,,
FO6255625,PN 56806,2022-02-09,2022-02-15,2022-02-15,2022-02-15,3,
FO6255679,PN 51697,2022-02-09,2022-02-15,2022-02-15,2022-02-15,,
FO6255500,PN 55265,2022-02-09,2022-02-14,2022-02-14,2022-02-14,96,
FO6255543,PN 67297,2022-02-09,2022-02-18,2022-02-18,2022-02-18,50,
FO6255562,PN 51722,2022-02-09,2022-02-16,2022-02-16,2022-02-17,96,
FO6255550,PN 53868,2022-02-09,2022-02-14,2022-02-14,2022-02-15,95,
FO6255557,PN 53562,2022-02-09,2022-02-17,2022-02-17,2022-02-17,,
FO6255555,PN 60551,2022-02-09,2022-02-15,2022-02-15,2022-02-15,64,
FO6255559,PN 52493,2022-02-09,2022-02-14,2022-02-14,2022-02-15,84,
FO6255560,PN 55067,2022-02-09,2022-02-14,2022-02-14,2022-02-14,95,
FO6255567,PN 52164,2022-02-09,2022-02-17,2022-02-17,2022-02-18,48,
FO6255570,PN 52961,2022-02-09,2022-02-18,2022-02-18,2022-02-18,48,
FO6255577,PN 56168,2022-02-09,2022-02-14,2022-02-14,2022-02-14,11,
FO6255600,PN 56522,2022-02-09,2022-02-16,2022-02-16,2022-02-16,15,
FO6255609,PN 59187,2022-02-09,2022-02-15,2022-02-15,2022-02-15,10,
FO6255602,PN 58776,2022-02-09,2022-02-17,2022-02-17,2022-02-17,20,
FO6255606,PN 51756,2022-02-09,2022-02-14,2022-02-14,2022-02-14,1,
FO6255605,PN 53611,2022-02-09,2022-02-14,2022-02-14,2022-02-14,4,
FO6255607,PN 53611,2022-02-09,2022-02-15,2022-02-15,2022-02-15,2,
FO6255690,PN 53455,2022-02-09,2022-02-14,2022-02-14,2022-02-14,9,
FO6255670,PN 60752,2022-02-09,2022-02-15,2022-02-15,2022-02-15,62,
FO6255290,PN 57472,2022-02-10,2022-02-14,2022-02-14,2022-02-14,1,
FO6255299,PN 59940,2022-02-10,2022-02-14,2022-02-14,2022-02-14,1,
FO6255295,PN 55218,2022-02-10,2022-02-15,2022-02-15,2022-02-15,1,
FO6255260,PN 55653,2022-02-10,2022-02-15,2022-02-15,2022-02-15,32,
FO6255269,PN 59014,2022-02-10,2022-02-14,2022-02-14,2022-02-14,32,
FO6255262,PN 60442,2022-02-10,2022-02-16,2022-02-16,2022-02-16,20,
FO6255267,PN 51860,2022-02-10,2022-02-11,2022-02-11,2022-02-14,2,
FO6255266,PN 57725,2022-02-10,2022-02-14,2022-02-14,2022-02-14,10,
FO6255265,PN 59030,2022-02-10,2022-02-15,2022-02-15,2022-02-15,25,
FO6255250,PN 56441,2022-02-10,2022-02-17,,2022-02-15,15,
FO6255259,PN 58911,2022-02-10,2022-02-17,2022-02-17,2022-02-17,7,
FO6255252,PN 55048,2022-02-10,2022-02-17,2022-02-17,2022-02-17,9,
FO6255256,PN 51722,2022-02-10,2022-02-16,2022-02-16,2022-02-16,90,
FO6255255,PN 51722,2022-02-10,2022-02-15,2022-02-15,2022-02-16,96,
FO6255257,PN 58655,2022-02-10,2022-02-17,2022-02-17,2022-02-17,15,
FO6255907,PN 62927,2022-02-10,2022-02-18,2022-02-18,2022-02-18,1,
FO6256979,PN 60741,2022-02-11,2022-02-15,2022-02-15,2022-02-15,5,
FO6256996,PN 60741,2022-02-11,2022-02-15,2022-02-15,2022-02-15,14,
FO6256600,PN 56175,2022-02-11,2022-02-17,2022-02-17,2022-02-17,6,
FO6256609,PN 53474,2022-02-11,2022-02-17,2022-02-17,2022-02-17,1,
FO6256602,PN 52406,2022-02-11,2022-02-16,2022-02-16,2022-02-16,1,
FO6256606,PN 59724,2022-02-11,2022-02-17,2022-02-17,2022-02-17,1,
FO6256605,PN 53072,2022-02-11,2022-02-18,2022-02-18,2022-02-18,2,
FO6256607,PN 55849,2022-02-11,2022-02-16,2022-02-15,2022-02-15,10,
FO6256696,PN 53656,2022-02-11,2022-02-18,2022-02-18,2022-02-18,,
FO6256695,PN 58969,2022-02-11,2022-02-14,2022-02-14,2022-02-14,20,
FO6256699,PN 66925,2022-02-11,2022-02-14,2022-02-14,2022-02-14,20,
FO6256620,PN 66665,2022-02-11,2022-02-16,2022-02-14,2022-02-14,20,
FO6256627,PN 67160,2022-02-11,2022-02-14,2022-02-14,2022-02-14,4,
FO6256650,PN 68137,2022-02-11,2022-02-15,2022-02-15,2022-02-15,20,
FO6256522,PN 59653,2022-02-11,2022-02-17,2022-02-17,2022-02-17,95,
FO6256560,PN 55330,2022-02-11,2022-02-16,2022-02-16,2022-02-16,64,
FO6256569,PN 54295,2022-02-11,2022-02-15,2022-02-15,2022-02-15,96,
FO6256562,PN 53450,2022-02-11,2022-02-15,2022-02-15,2022-02-15,95,
FO6256567,PN 55788,2022-02-11,2022-02-18,2022-02-18,2022-02-18,1,
FO6256565,PN 51820,2022-02-11,2022-02-17,2022-02-16,2022-02-17,25,
FO6256550,PN 53908,2022-02-11,2022-02-18,2022-02-18,2022-02-18,19,
FO6256552,PN 54264,2022-02-11,2022-02-17,2022-02-17,2022-02-17,48,
FO6256556,PN 59541,2022-02-11,2022-02-17,2022-02-17,2022-02-17,16,
FO6256555,PN 52944,2022-02-11,2022-02-18,2022-02-18,2022-02-18,40,
FO6256299,PN 67407,2022-02-14,2022-02-16,2022-02-16,2022-02-16,1,
FO6256229,PN 58409,2022-02-14,2022-02-16,2022-02-16,2022-02-17,1,
FO6256279,PN 58898,2022-02-14,2022-02-17,2022-02-17,2022-02-17,26,
FO6256266,PN 67143,2022-02-14,2022-02-15,2022-02-15,2022-02-15,15,
FO6256267,PN 68056,2022-02-14,2022-02-17,2022-02-15,2022-02-15,15,
FO6256269,PN 67296,2022-02-14,2022-02-15,2022-02-15,2022-02-15,10,
FO6256270,PN 65264,2022-02-14,2022-02-15,2022-02-14,2022-02-14,10,
FO6256272,PN 68093,2022-02-14,2022-02-15,2022-02-15,2022-02-15,10,
FO6256277,PN 67558,2022-02-14,2022-02-15,2022-02-14,2022-02-14,10,
FO6256242,PN 67604,2022-02-14,2022-02-15,2022-02-15,2022-02-15,10,
FO6256243,PN 69622,2022-02-14,2022-02-15,2022-02-14,2022-02-14,10,
FO6256220,PN 51452,2022-02-14,2022-02-17,2022-02-17,2022-02-17,4,
FO6256227,PN 55047,2022-02-14,2022-02-17,2022-02-17,2022-02-17,2,
FO6256226,PN 60154,2022-02-14,2022-02-17,2022-02-17,2022-02-17,4,
FO6256225,PN 53903,2022-02-14,2022-02-17,2022-02-17,2022-02-17,2,
FO6256296,PN 59223,2022-02-14,2022-02-16,2022-02-16,2022-02-16,5,
FO6256295,PN 55967,2022-02-14,2022-02-18,2022-02-18,2022-02-18,1,
FO6256952,PN 62293,2022-02-14,2022-02-18,2022-02-18,2022-02-18,1,
FO6256957,PN 62293,2022-02-14,2022-02-18,2022-02-18,2022-02-18,1,
FO6256969,PN 53125,2022-02-14,2022-02-17,2022-02-17,2022-02-18,40,
FO6257243,PN 68658,2022-02-16,2022-02-18,2022-02-18,2022-02-18,15,
FO6257242,PN 68344,2022-02-16,2022-02-16,2022-02-16,2022-02-16,15,
FO6257277,PN 63789,2022-02-15,2022-02-16,2022-02-16,2022-02-16,2,
FO6257272,PN 66261,2022-02-15,2022-02-17,2022-02-15,2022-02-15,2,
FO6257227,PN 54732,2022-02-15,2022-02-17,2022-02-17,2022-02-17,1,
FO6257226,PN 54852,2022-02-15,2022-02-18,2022-02-18,2022-02-18,1,
FO6257296,PN 52835,2022-02-15,2022-02-18,2022-02-18,2022-02-19,10,
FO6257295,PN 53350,2022-02-15,2022-02-18,2022-02-17,2022-02-17,9,
FO6257702,PN 51956,2022-02-15,2022-02-18,2022-02-18,2022-02-19,96,
FO6257705,PN 54264,2022-02-15,2022-02-18,2022-02-18,2022-02-18,47,
FO6257799,PN 59976,2022-02-15,2022-02-17,2022-02-17,2022-02-18,94,
FO6257430,PN 67478,2022-02-15,2022-02-16,2022-02-16,2022-02-16,2,
FO6257439,PN 64085,2022-02-15,2022-02-17,2022-02-15,2022-02-15,2,
FO6257437,PN 66476,2022-02-15,2022-02-16,2022-02-16,2022-02-16,10,
FO6257436,PN 66900,2022-02-15,2022-02-15,2022-02-15,2022-02-15,10,
FO6257432,PN 64856,2022-02-15,2022-02-16,2022-02-16,2022-02-16,100,
FO6257420,PN 64856,2022-02-15,2022-02-16,2022-02-16,2022-02-16,100,
FO6257429,PN 64856,2022-02-15,2022-02-16,2022-02-16,2022-02-16,100,
FO6257422,PN 69052,2022-02-15,2022-02-17,2022-02-17,2022-02-17,100,
FO6257427,PN 69052,2022-02-15,2022-02-17,2022-02-17,2022-02-17,100,
FO6257426,PN 63553,2022-02-15,2022-02-21,2022-02-18,2022-02-18,2,
FO6257720,PN 59078,2022-02-15,2022-02-18,2022-02-18,2022-02-19,20,
FO6257795,PN 57150,2022-02-15,2022-02-19,2022-02-19,2022-02-19,96,
FO6254320,PN 59262,2022-02-15,2022-02-18,2022-02-18,2022-02-19,88,
FO6257700,PN 60657,2022-02-16,2022-02-17,2022-02-17,2022-02-17,2,
FO6257709,PN 54618,2022-02-16,2022-02-17,2022-02-17,2022-02-17,1,
FO6257707,PN 59691,2022-02-16,2022-02-17,2022-02-17,2022-02-17,5,
FO6257742,PN 66051,2022-02-16,2022-02-17,2022-02-17,2022-02-17,100,
FO6257743,PN 66051,2022-02-16,2022-02-17,2022-02-17,2022-02-17,100,
FO6257729,PN 69511,2022-02-16,2022-02-21,2022-02-17,2022-02-17,50,
FO6257726,PN 68296,2022-02-16,2022-02-17,2022-02-17,2022-02-17,15,
FO6257202,PN 65047,2022-02-16,2022-02-17,2022-02-17,2022-02-17,10,
FO6257205,PN 54545,2022-02-16,2022-02-18,2022-02-18,2022-02-18,96,
FO6257299,PN 52458,2022-02-16,2022-02-21,2022-02-18,2022-02-19,20,
FO6777926,PN 59957,2021-03-05,2022-02-22,2022-02-22,2022-02-22,,
FO6222777,PN 61304,2021-11-16,2022-02-21,2022-02-21,2022-02-21,,
FO6260690,PN 70035,2021-12-22,2022-01-17,2022-01-17,2022-02-25,1,
FO6267000,PN 70281,2022-01-17,2022-01-26,2022-01-26,2022-02-25,1,
FO6269069,PN 61226,2022-01-21,2022-02-22,2022-02-22,2022-02-22,,
FO6250690,PN 52688,2022-01-26,2022-02-25,2022-02-25,2022-02-25,61,
FO6250265,PN 62489,2022-01-27,2022-02-23,2022-02-23,2022-02-23,4,
FO6259007,PN 56663,2022-01-27,2022-02-25,2022-02-24,2022-02-24,6,
FO6259605,PN 51990,2022-01-28,2022-02-21,2022-02-21,2022-02-21,1,
FO6259660,PN 52455,2022-01-28,2022-02-23,2022-02-23,2022-02-24,64,
FO6254260,PN 62890,2022-02-03,2022-02-21,2022-02-21,2022-02-21,1,
FO6254250,PN 51711,2022-02-03,2022-02-21,2022-02-21,2022-02-21,19,
FO6256965,PN 60943,2022-02-04,2022-02-17,2022-02-17,2022-02-21,"2,985.00",
FO6256595,PN 54970,2022-02-07,2022-02-28,2022-02-25,2022-02-26,92,
FO6255059,PN 70281,2022-02-08,2022-02-17,2022-02-17,2022-02-24,1,
FO6255052,PN 62886,2022-02-08,2022-02-24,2022-02-24,2022-02-24,4,
FO6255027,PN 62890,2022-02-08,2022-02-23,2022-02-23,2022-02-23,1,
FO6255090,PN 70546,2022-02-08,2022-02-22,2022-02-22,2022-02-22,1,
FO6255795,PN 61408,2022-02-08,2022-02-21,2022-02-21,2022-02-21,,
FO6255743,PN 62125,2022-02-09,2022-02-22,2022-02-22,2022-02-22,20,
FO6255667,PN 62886,2022-02-09,2022-02-25,2022-02-25,2022-02-25,4,
FO6255660,PN 60517,2022-02-09,2022-02-19,2022-02-19,2022-02-21,42,
FO6255665,PN 61529,2022-02-09,2022-02-23,2022-02-23,2022-02-23,75,
FO6255666,PN 61804,2022-02-09,2022-02-22,2022-02-22,2022-02-22,"1,619.00",
FO6255243,PN 62890,2022-02-10,2022-02-24,2022-02-24,2022-02-24,1,
FO6255242,PN 62890,2022-02-10,2022-02-24,2022-02-24,2022-02-24,1,
FO6256052,PN 60443,2022-02-10,2022-02-24,2022-02-24,2022-02-24,10,
FO6256690,PN 57162,2022-02-11,2022-02-22,2022-02-22,2022-02-22,8,
FO6256566,PN 55415,2022-02-11,2022-02-21,2022-02-21,2022-02-21,25,
FO6256557,PN 57714,2022-02-11,2022-02-21,2022-02-21,2022-02-22,47,
FO6256559,PN 59243,2022-02-11,2022-02-21,2022-02-21,2022-02-21,5,
FO6256222,PN 59756,2022-02-14,2022-02-21,2022-02-21,2022-02-21,2,
FO6256290,PN 52120,2022-02-14,2022-02-25,2022-02-25,2022-02-26,13,
FO6256956,PN 62293,2022-02-14,2022-02-22,2022-02-22,2022-02-22,1,
FO6256955,PN 62564,2022-02-14,2022-02-22,2022-02-22,2022-02-22,1,
FO6256959,PN 63278,2022-02-14,2022-02-23,2022-02-23,2022-02-23,1,
FO6257042,PN 70281,2022-02-14,2022-02-23,2022-02-23,2022-02-24,1,
FO6257220,PN 54380,2022-02-15,2022-02-21,2022-02-21,2022-02-21,2,
FO6257229,PN 53341,2022-02-15,2022-02-22,2022-02-22,2022-02-22,1,
FO6257222,PN 54306,2022-02-15,2022-02-23,2022-02-22,2022-02-22,1,
FO6257225,PN 57942,2022-02-15,2022-02-22,2022-02-22,2022-02-22,2,
FO6257290,PN 52988,2022-02-15,2022-02-23,2022-02-23,2022-02-23,2,
FO6257706,PN 56353,2022-02-15,2022-02-24,2022-02-24,2022-02-24,89,
FO6257790,PN 60345,2022-02-15,2022-02-22,2022-02-22,2022-02-22,3,
FO6257722,PN 63131,2022-02-15,2022-02-24,2022-02-24,2022-02-24,4,
FO6257727,PN 63013,2022-02-15,2022-02-21,2022-02-21,2022-02-21,4,
FO6257770,PN 62890,2022-02-15,2022-02-25,2022-02-25,2022-02-25,1,
FO6257725,PN 52721,2022-02-15,2022-02-21,2022-02-21,2022-02-21,31,
FO6257425,PN 61292,2022-02-16,2022-02-23,2022-02-23,2022-02-23,100,
FO6257206,PN 59964,2022-02-16,2022-02-21,2022-02-21,2022-02-22,96,
FO6257207,PN 55759,2022-02-16,2022-02-22,2022-02-22,2022-02-22,32,
FO6257209,PN 51500,2022-02-16,2022-02-21,2022-02-21,2022-02-21,58,
FO6257260,PN 58577,2022-02-16,2022-02-25,2022-02-25,2022-02-25,23,
FO6257269,PN 60382,2022-02-16,2022-02-22,2022-02-21,2022-02-21,96,
FO6257262,PN 56704,2022-02-16,2022-02-21,2022-02-21,2022-02-21,91,
FO6257267,PN 59412,2022-02-16,2022-02-22,2022-02-22,2022-02-22,9,
FO6257266,PN 52608,2022-02-16,2022-02-25,2022-02-24,2022-02-25,10,
FO6257265,PN 59953,2022-02-16,2022-02-23,2022-02-22,2022-02-23,5,
FO6257900,PN 59653,2022-02-16,2022-02-23,2022-02-23,2022-02-23,96,
FO6252099,PN 62464,2022-02-17,2022-02-25,2022-02-25,2022-02-25,1,
FO6252957,PN 55701,2022-02-17,2022-02-21,2022-02-21,2022-02-21,1,
FO6252959,PN 52108,2022-02-17,2022-02-22,2022-02-22,2022-02-23,4,
FO6252299,PN 68655,2022-02-17,2022-02-24,2022-02-24,2022-02-24,50,
FO6252296,PN 66874,2022-02-17,2022-02-25,2022-02-24,2022-02-24,50,
FO6252290,PN 62170,2022-02-17,2022-02-21,2022-02-21,2022-02-21,4,
FO6252420,PN 62927,2022-02-17,2022-02-24,2022-02-24,2022-02-24,1,
FO6252543,PN 68424,2022-02-18,2022-02-24,2022-02-24,2022-02-24,5,
FO6252542,PN 66350,2022-02-18,2022-02-21,2022-02-21,2022-02-21,5,
FO6252577,PN 64497,2022-02-18,2022-02-23,2022-02-23,2022-02-23,20,
FO6252572,PN 63736,2022-02-18,2022-02-22,2022-02-22,2022-02-22,20,
FO6252579,PN 56561,2022-02-18,2022-02-24,2022-02-24,2022-02-24,5,
FO6252599,PN 59653,2022-02-18,2022-02-22,2022-02-22,2022-02-22,96,
FO6252605,PN 60271,2022-02-18,2022-02-22,2022-02-22,2022-02-22,1,
FO6252690,PN 52165,2022-02-18,2022-02-22,2022-02-22,2022-02-22,5,
FO6252620,PN 58017,2022-02-18,2022-02-22,2022-02-22,2022-02-22,5,
FO6252627,PN 55203,2022-02-18,2022-02-22,2022-02-22,2022-02-22,96,
FO6252660,PN 64729,2022-02-18,2022-02-23,2022-02-23,2022-02-23,30,
FO6252669,PN 67949,2022-02-18,2022-02-22,2022-02-22,2022-02-22,30,
FO6252666,PN 67603,2022-02-18,2022-02-25,2022-02-24,2022-02-24,50,
FO6252667,PN 67603,2022-02-18,2022-02-25,2022-02-24,2022-02-24,50,
FO6252629,PN 59653,2022-02-18,2022-02-23,2022-02-23,2022-02-23,96,
FO6252622,PN 59653,2022-02-18,2022-02-21,2022-02-21,2022-02-22,96,
FO6252626,PN 54264,2022-02-18,2022-02-23,2022-02-23,2022-02-23,48,
FO6252625,PN 54262,2022-02-18,2022-02-25,2022-02-24,2022-02-24,8,
FO6252725,PN 56306,2022-02-18,2022-02-22,2022-02-22,2022-02-22,96,
FO6252770,PN 56670,2022-02-18,2022-02-23,2022-02-23,2022-02-23,1,
FO6259095,PN 61534,2022-02-21,2022-02-24,2022-02-23,2022-02-23,50,
FO6259027,PN 68917,2022-02-21,2022-02-22,2022-02-22,2022-02-22,50,
FO6259022,PN 68603,2022-02-21,2022-02-22,2022-02-21,2022-02-21,50,
FO6259029,PN 67946,2022-02-21,2022-02-22,2022-02-21,2022-02-21,50,
FO6259072,PN 68917,2022-02-21,2022-02-24,2022-02-24,2022-02-24,50,
FO6259077,PN 68603,2022-02-21,2022-02-22,2022-02-21,2022-02-21,50,
FO6259043,PN 67946,2022-02-21,2022-02-22,2022-02-21,2022-02-21,50,
FO6259067,PN 58392,2022-02-21,2022-02-23,2022-02-23,2022-02-23,1,
FO6259066,PN 53951,2022-02-21,2022-02-23,2022-02-23,2022-02-24,1,
FO6259062,PN 58290,2022-02-21,2022-02-25,2022-02-25,2022-02-26,3,
FO6259050,PN 52917,2022-02-21,2022-02-23,2022-02-23,2022-02-23,1,
FO6259059,PN 51987,2022-02-21,2022-02-23,2022-02-23,2022-02-23,1,
FO6259052,PN 59809,2022-02-21,2022-02-23,2022-02-23,2022-02-23,1,
FO6259057,PN 55653,2022-02-21,2022-02-23,2022-02-23,2022-02-24,48,
FO6259055,PN 54957,2022-02-21,2022-02-25,2022-02-25,2022-02-26,12,
FO6259056,PN 59161,2022-02-21,2022-02-25,2022-02-25,2022-02-26,20,
FO6259020,PN 58205,2022-02-21,2022-02-24,2022-02-24,2022-02-24,2,
FO6259962,PN 65458,2022-02-21,2022-02-24,2022-02-24,2022-02-24,30,
FO6259967,PN 65711,2022-02-21,2022-02-23,2022-02-22,2022-02-22,30,
FO6259966,PN 66335,2022-02-21,2022-02-23,2022-02-22,2022-02-22,30,
