Part,ProcType,Business Area,Production Area,Planner,Buyer,Work Centre,Box Qty,SLoc,ABC *, Std Cost , Std HRS 
PN 52895,Buy,BA 001,PROD 1001,,BYR 005,,,SL008,, 16.80 ,
PN 64665,Buy,BA 002,PROD 2003,,BYR 005,,,SL008,, 16.80 ,
PN 64666,Buy,BA 002,PROD 2003,,BYR 005,,,SL006,, 16.80 ,
PN 50194,Buy,BA 003,PROD 3002,,BYR 001,,,SL006,, 16.80 ,
PN 50195,Buy,BA 003,PROD 3002,,BYR 001,,,,, 16.80 ,
PN 50196,Buy,BA 003,PROD 3002,,BYR 009,,,SL006,, 16.80 ,
PN 52891,Make,BA 001,PROD 1001,MRP 007,,WC015,,SL009,C, 16.80 , 6.048 
PN 52889,Make,BA 001,PROD 1001,MRP 006,,WC013,,SL009,A, 16.80 , 9.103 
PN 52893,Make,BA 001,PROD 1001,MRP 001,,WC013,,SL009,C, 16.80 , 13.067 
PN 64668,Make,BA 002,PROD 2003,MRP 008,,WC004,,SL006,, 16.80 , 6.926 
PN 64669,Make,BA 002,PROD 2003,MRP 004,,WC004,,SL006,, 16.80 , 8.474 
PN 64670,Make,BA 002,PROD 2003,MRP 003,,WC004,,SL006,, 16.80 , 5.231 
PN 64667,Make,BA 002,PROD 2003,MRP 004,,WC003,,SL009,, 16.80 , 4.463 
PN 52897,Buy,BA 001,PROD 1001,,BYR 007,,,SL008,, 16.79 ,
PN 60778,Buy,BA 001,PROD 1002,,BYR 005,,,SL008,, 16.79 ,
PN 64671,Buy,BA 002,PROD 2003,,BYR 009,,,SL006,, 16.79 ,
PN 64674,Buy,BA 002,PROD 2003,,BYR 003,,,SL006,, 16.79 ,
PN 69892,Buy,BA 002,PROD 2004,,BYR 004,,,SL008,, 16.79 ,
PN 51287,Buy,BA 003,PROD 3001,,BYR 004,,,SL006,, 16.79 ,
PN 51288,Buy,BA 003,PROD 3001,,BYR 001,,,SL008,, 16.79 ,
PN 60779,Make,BA 001,PROD 1002,MRP 002,,WC041,,SL006,, 16.79 , 10.972 
PN 64673,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 16.79 , 11.674 
PN 64672,Make,BA 002,PROD 2003,MRP 009,,WC002,,SL006,, 16.79 , 3.993 
PN 52902,Buy,BA 001,PROD 1001,,BYR 002,,,SL008,, 16.78 ,
PN 62369,Buy,BA 002,PROD 2001,,BYR 007,,,SL006,, 16.78 ,
PN 50197,Buy,BA 003,PROD 3002,,BYR 002,,,SL006,, 16.78 ,
PN 60780,Make,BA 001,PROD 1002,MRP 001,,WC041,,SL008,, 16.78 , 14.758 
PN 52903,Make,BA 001,PROD 1001,MRP 004,,WC017,,SL009,C, 16.78 , 10.678 
PN 52899,Make,BA 001,PROD 1001,MRP 003,,WC015,,SL009,C, 16.78 , 16.954 
PN 64677,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 16.78 , 7.863 
PN 64675,Make,BA 002,PROD 2003,MRP 005,,WC002,,SL006,, 16.78 , 10.244 
PN 64676,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 16.78 , 3.203 
PN 64678,Make,BA 002,PROD 2003,MRP 009,,WC002,,SL006,, 16.78 , 3.967 
PN 52905,Make,BA 001,PROD 1001,MRP 001,,WC023,,SL009,C, 16.77 , 0.462 
PN 52906,Make,BA 001,PROD 1001,MRP 006,,WC015,,SL009,C, 16.77 , 6.855 
PN 52907,Make,BA 001,PROD 1001,MRP 007,,WC015,,SL009,C, 16.77 , 0.156 
PN 52904,Make,BA 001,PROD 1001,MRP 006,,WC013,,SL009,C, 16.77 , 4.164 
PN 62370,Make,BA 002,PROD 2001,MRP 006,,WC009,,SL006,, 16.77 , 10.082 
PN 64679,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 16.77 , 15.389 
PN 64680,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 16.77 , 11.139 
PN 64681,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 16.77 , 2.279 
PN 52908,Buy,BA 001,PROD 1001,,BYR 009,,,SL006,, 16.76 ,
PN 52910,Buy,BA 001,PROD 1001,,BYR 008,,,SL009,, 16.76 ,
PN 52915,Buy,BA 001,PROD 1001,,BYR 008,,,SL006,, 16.76 ,
PN 62371,Buy,BA 002,PROD 2001,,BYR 007,,,SL008,, 16.76 ,
PN 63428,Buy,BA 002,PROD 2002,,BYR 002,,,SL006,, 16.76 ,
PN 69894,Buy,BA 002,PROD 2004,,BYR 007,,,SL006,, 16.76 ,
PN 52914,Make,BA 001,PROD 1001,MRP 006,,WC023,,SL009,C, 16.76 , 2.373 
PN 52913,Make,BA 001,PROD 1001,MRP 008,,WC022,,SL009,A, 16.76 , 6.825 
PN 52911,Make,BA 001,PROD 1001,MRP 004,,WC013,,SL009,C, 16.76 , 15.715 
PN 52912,Make,BA 001,PROD 1001,MRP 002,,WC013,,SL009,C, 16.76 , 4.730 
PN 64682,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 16.76 , 19.169 
PN 52920,Buy,BA 001,PROD 1001,,BYR 005,,,SL006,, 16.75 ,
PN 61272,Buy,BA 001,PROD 1003,,BYR 006,,,SL008,, 16.75 ,
PN 64689,Buy,BA 002,PROD 2003,,BYR 006,,,SL006,, 16.75 ,
PN 52918,Make,BA 001,PROD 1001,MRP 002,,WC020,,SL009,A, 16.75 , 12.063 
PN 52917,Make,BA 001,PROD 1001,MRP 008,,WC018,,SL009,C, 16.75 , 2.078 
PN 64690,Make,BA 002,PROD 2003,MRP 006,,WC004,,SL006,, 16.75 , 9.356 
PN 64685,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 16.75 , 1.308 
PN 64688,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 16.75 , 11.442 
PN 64683,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 16.75 , 2.443 
PN 64684,Make,BA 002,PROD 2003,MRP 002,,WC002,,SL006,, 16.75 , 17.425 
PN 64686,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 16.75 , 16.418 
PN 64687,Make,BA 002,PROD 2003,MRP 004,,WC002,,SL006,, 16.75 , 2.607 
PN 63429,Make,BA 002,PROD 2002,MRP 002,,WC001,,SL009,, 16.75 , 17.069 
PN 52922,Buy,BA 001,PROD 1001,,BYR 003,,,SL006,, 16.74 ,
PN 52927,Buy,BA 001,PROD 1001,,BYR 004,,,SL008,, 16.74 ,
PN 61273,Buy,BA 001,PROD 1003,,BYR 006,,,SL006,, 16.74 ,
PN 52924,Make,BA 001,PROD 1001,MRP 001,,WC018,,SL009,C, 16.74 , 9.537 
PN 52926,Make,BA 001,PROD 1001,MRP 003,,WC013,,SL009,C, 16.74 , 3.583 
PN 64691,Make,BA 002,PROD 2003,MRP 008,,WC004,,SL006,, 16.74 , 9.668 
PN 52928,Buy,BA 001,PROD 1001,,BYR 003,,,SL006,, 16.73 ,
PN 52934,Buy,BA 001,PROD 1001,,BYR 008,,,SL008,, 16.73 ,
PN 64692,Buy,BA 002,PROD 2003,,BYR 002,,,SL008,, 16.73 ,
PN 69895,Buy,BA 002,PROD 2004,,BYR 005,,,SL008,, 16.73 ,
PN 52931,Make,BA 001,PROD 1001,MRP 003,,WC034,,SL009,C, 16.73 , 2.618 
PN 52932,Make,BA 001,PROD 1001,MRP 009,,WC018,,SL009,C, 16.73 , 10.858 
PN 52930,Make,BA 001,PROD 1001,MRP 006,,WC015,,SL009,C, 16.73 , 19.656 
PN 52933,Make,BA 001,PROD 1001,MRP 009,,WC015,,SL009,NPI, 16.73 , 1.042 
PN 52935,Make,BA 001,PROD 1001,MRP 004,,WC013,,SL009,, 16.73 , 18.481 
PN 64693,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 16.73 , 5.316 
PN 64694,Make,BA 002,PROD 2003,MRP 002,,WC003,,SL009,, 16.73 , 12.871 
PN 64695,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 16.73 , 5.825 
PN 52941,Buy,BA 001,PROD 1001,,BYR 008,,,SL008,, 16.72 ,
PN 52942,Buy,BA 001,PROD 1001,,BYR 009,,,SL006,, 16.72 ,
PN 52943,Buy,BA 001,PROD 1001,,BYR 008,,,SL008,, 16.72 ,
PN 62373,Buy,BA 002,PROD 2001,,BYR 006,,,SL008,, 16.72 ,
PN 69896,Buy,BA 002,PROD 2004,,BYR 004,,,SL008,, 16.72 ,
PN 69897,Buy,BA 002,PROD 2004,,BYR 001,,,SL006,, 16.72 ,
PN 52939,Make,BA 001,PROD 1001,MRP 008,,WC018,,SL009,C, 16.72 , 5.906 
PN 52940,Make,BA 001,PROD 1001,MRP 005,,WC018,,SL009,C, 16.72 , 8.098 
PN 62372,Make,BA 002,PROD 2001,MRP 003,,WC008,,SL006,, 16.72 , 8.439 
PN 64696,Make,BA 002,PROD 2003,MRP 008,,WC004,,SL006,, 16.72 , 18.813 
PN 50198,Buy,BA 003,PROD 3002,,BYR 003,,,SL006,, 16.71 ,
PN 61274,Make,BA 001,PROD 1003,MRP 004,,WC039,100,SL009,C, 16.71 , 6.032 
PN 52944,Make,BA 001,PROD 1001,MRP 007,,WC038,,SL009,A, 16.71 , 15.734 
PN 64700,Make,BA 002,PROD 2003,MRP 008,,WC004,,SL006,, 16.71 , 13.905 
PN 64699,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 16.71 , 19.289 
PN 64698,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 16.71 , 8.405 
PN 60781,Buy,BA 001,PROD 1002,,BYR 007,,,SL008,, 16.70 ,
PN 62375,Buy,BA 002,PROD 2001,,BYR 006,,,,, 16.70 ,
PN 50199,Buy,BA 003,PROD 3002,,BYR 003,,,SL008,, 16.70 ,
PN 61275,Make,BA 001,PROD 1003,MRP 002,,WC039,1,SL009,A, 16.70 , 6.148 
PN 52947,Make,BA 001,PROD 1001,MRP 005,,WC034,,SL009,C, 16.70 , 0.565 
PN 52946,Make,BA 001,PROD 1001,MRP 001,,WC015,,SL009,C, 16.70 , 15.660 
PN 52948,Make,BA 001,PROD 1001,MRP 006,,WC015,,SL009,NPI, 16.70 , 19.956 
PN 52949,Make,BA 001,PROD 1001,MRP 005,,WC015,,SL009,NPI, 16.70 , 2.654 
PN 52950,Make,BA 001,PROD 1001,MRP 003,,WC013,,SL009,C, 16.70 , 11.367 
PN 62374,Make,BA 002,PROD 2001,MRP 003,,WC011,,SL009,, 16.70 , 1.448 
PN 64702,Make,BA 002,PROD 2003,MRP 004,,WC004,,SL006,, 16.70 , 14.356 
PN 64701,Make,BA 002,PROD 2003,MRP 009,,WC003,,SL009,, 16.70 , 19.361 
PN 52951,Buy,BA 001,PROD 1001,,BYR 005,,,SL009,, 16.69 ,
PN 62376,Buy,BA 002,PROD 2001,,BYR 007,,,SL008,, 16.69 ,
PN 69898,Buy,BA 002,PROD 2004,,BYR 004,,,SL006,, 16.69 ,
PN 64704,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 16.69 , 2.664 
PN 64703,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 16.69 , 1.190 
PN 52957,Buy,BA 001,PROD 1001,,BYR 001,,,SL008,, 16.68 ,
PN 52958,Buy,BA 001,PROD 1001,,BYR 001,,,SL006,, 16.68 ,
PN 63431,Buy,BA 002,PROD 2002,,BYR 007,,,SL008,, 16.68 ,
PN 64705,Buy,BA 002,PROD 2003,,BYR 008,,,SL008,, 16.68 ,
PN 50200,Buy,BA 003,PROD 3002,,BYR 004,,,SL008,, 16.68 ,
PN 50201,Buy,BA 003,PROD 3002,,BYR 003,,,SL008,, 16.68 ,
PN 52954,Make,BA 001,PROD 1001,MRP 006,,WC028,,SL009,C, 16.68 , 15.602 
PN 52955,Make,BA 001,PROD 1001,MRP 002,,WC021,,SL009,C, 16.68 , 5.117 
PN 52956,Make,BA 001,PROD 1001,MRP 003,,WC018,,SL009,C, 16.68 , 13.040 
PN 64708,Make,BA 002,PROD 2003,MRP 009,,WC004,,SL006,, 16.68 , 1.678 
PN 64709,Make,BA 002,PROD 2003,MRP 005,,WC004,,SL006,, 16.68 , 5.013 
PN 64706,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 16.68 , 7.502 
PN 64707,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 16.68 , 16.064 
PN 60782,Buy,BA 001,PROD 1002,,BYR 001,,,SL008,, 16.67 ,
PN 52961,Make,BA 001,PROD 1001,MRP 007,,WC021,,SL009,A, 16.67 , 17.680 
PN 52960,Make,BA 001,PROD 1001,MRP 008,,WC013,,SL009,C, 16.67 , 17.408 
PN 64710,Make,BA 002,PROD 2003,MRP 007,,WC004,,SL006,, 16.67 , 6.405 
PN 50202,Buy,BA 003,PROD 3002,,BYR 008,,,SL008,, 16.66 ,
PN 50203,Buy,BA 003,PROD 3002,,BYR 004,,,SL006,, 16.66 ,
PN 52963,Make,BA 001,PROD 1001,MRP 003,,WC013,,SL009,C, 16.66 , 8.257 
PN 64712,Make,BA 002,PROD 2003,MRP 009,,WC003,,SL009,, 16.66 , 0.494 
PN 64711,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 16.66 , 19.056 
PN 52965,Buy,BA 001,PROD 1001,,BYR 003,,,SL006,, 16.65 ,
PN 52968,Buy,BA 001,PROD 1001,,BYR 007,,,SL006,, 16.65 ,
PN 62377,Buy,BA 002,PROD 2001,,BYR 005,,,SL008,, 16.65 ,
PN 64715,Make,BA 002,PROD 2003,MRP 002,,WC004,,SL006,, 16.65 , 0.921 
PN 64714,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 16.65 , 5.873 
PN 64713,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 16.65 , 8.265 
PN 52973,Buy,BA 001,PROD 1001,,BYR 003,,,SL008,, 16.64 ,
PN 52974,Buy,BA 001,PROD 1001,,BYR 008,,,SL006,, 16.64 ,
PN 64720,Buy,BA 002,PROD 2003,,BYR 004,,,SL006,, 16.64 ,
PN 51289,Buy,BA 003,PROD 3001,,BYR 007,,,SL006,, 16.64 ,
PN 70717,Buy,,,,BYR 009,,,,, 16.64 ,
PN 52970,Make,BA 001,PROD 1001,MRP 006,,WC018,,SL009,C, 16.64 , 14.473 
PN 52972,Make,BA 001,PROD 1001,MRP 001,,WC018,,SL009,C, 16.64 , 17.618 
PN 52971,Make,BA 001,PROD 1001,MRP 001,,WC015,,SL009,C, 16.64 , 2.088 
PN 52969,Make,BA 001,PROD 1001,MRP 002,,WC013,,SL009,C, 16.64 , 11.068 
PN 64716,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 16.64 , 1.973 
PN 64717,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 16.64 , 9.173 
PN 64719,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 16.64 , 19.600 
PN 64718,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 16.64 , 3.046 
PN 52978,Buy,BA 001,PROD 1001,,BYR 009,,,SL008,, 16.63 ,
PN 61276,Buy,BA 001,PROD 1003,,BYR 002,,,SL008,, 16.63 ,
PN 52977,Make,BA 001,PROD 1001,MRP 008,,WC015,,SL009,C, 16.63 , 11.539 
PN 52976,Make,BA 001,PROD 1001,MRP 001,,WC013,,SL009,C, 16.63 , 6.784 
PN 52979,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,C, 16.63 , 2.441 
PN 52983,Buy,BA 001,PROD 1001,,BYR 006,,,SL009,, 16.62 ,
PN 62380,Buy,BA 002,PROD 2001,,BYR 006,,,SL008,, 16.62 ,
PN 61277,Make,BA 001,PROD 1003,MRP 009,,WC039,,SL009,A, 16.62 , 2.526 
PN 61278,Make,BA 001,PROD 1003,MRP 005,,WC039,50,SL009,C, 16.62 , 2.670 
PN 52982,Make,BA 001,PROD 1001,MRP 002,,WC035,,SL009,C, 16.62 , 13.133 
PN 62378,Make,BA 002,PROD 2001,MRP 003,,WC011,,SL009,, 16.62 , 2.390 
PN 64724,Make,BA 002,PROD 2003,MRP 004,,WC003,,SL009,, 16.62 , 5.077 
PN 64723,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 16.62 , 1.618 
PN 52986,Buy,BA 001,PROD 1001,,BYR 009,,,SL006,, 16.61 ,
PN 60783,Buy,BA 001,PROD 1002,,BYR 005,,,SL008,, 16.61 ,
PN 64730,Buy,BA 002,PROD 2003,,BYR 001,,,SL006,, 16.61 ,
PN 52988,Make,BA 001,PROD 1001,MRP 001,,WC023,,SL009,C, 16.61 , 1.883 
PN 52987,Make,BA 001,PROD 1001,MRP 002,,WC015,,SL009,C, 16.61 , 2.390 
PN 64727,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 16.61 , 9.337 
PN 64728,Make,BA 002,PROD 2003,MRP 002,,WC003,,SL009,, 16.61 , 13.108 
PN 64729,Make,BA 002,PROD 2003,MRP 002,,WC003,,SL009,, 16.61 , 11.911 
PN 64725,Make,BA 002,PROD 2003,MRP 002,,WC002,,SL006,, 16.61 , 3.377 
PN 64726,Make,BA 002,PROD 2003,MRP 002,,WC002,,SL006,, 16.61 , 12.229 
PN 52989,Buy,BA 001,PROD 1001,,BYR 006,,,SL006,, 16.60 ,
PN 52991,Buy,BA 001,PROD 1001,,BYR 005,,,SL006,, 16.60 ,
PN 52992,Buy,BA 001,PROD 1001,,BYR 007,,,SL008,, 16.60 ,
PN 50204,Buy,BA 003,PROD 3002,,BYR 002,,,SL008,, 16.60 ,
PN 61279,Make,BA 001,PROD 1003,MRP 002,,WC039,50,SL009,C, 16.60 , 9.006 
PN 61280,Make,BA 001,PROD 1003,MRP 006,,WC039,50,SL009,A, 16.60 , 14.768 
PN 52990,Make,BA 001,PROD 1001,MRP 002,,WC018,,SL009,C, 16.60 , 10.715 
PN 52993,Make,BA 001,PROD 1001,MRP 006,,WC013,,SL009,, 16.60 , 5.331 
PN 64732,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 16.60 , 19.590 
PN 64733,Make,BA 002,PROD 2003,MRP 002,,WC003,,SL009,, 16.60 , 15.312 
PN 64731,Make,BA 002,PROD 2003,MRP 009,,WC002,,SL006,, 16.60 , 15.290 
PN 52994,Buy,BA 001,PROD 1001,,BYR 007,,,SL006,, 16.59 ,
PN 52997,Buy,BA 001,PROD 1001,,BYR 008,,,SL006,, 16.59 ,
PN 50205,Buy,BA 003,PROD 3002,,BYR 004,,,SL008,, 16.59 ,
PN 50206,Buy,BA 003,PROD 3002,,BYR 001,,,SL008,, 16.59 ,
PN 50207,Buy,BA 003,PROD 3002,,BYR 003,,,SL006,, 16.59 ,
PN 52996,Make,BA 001,PROD 1001,MRP 004,,WC013,,SL009,B, 16.59 , 8.007 
PN 69899,Make,BA 002,PROD 2004,MRP 009,,WC007,,SL009,, 16.59 , 7.934 
PN 64734,Make,BA 002,PROD 2003,MRP 009,,WC002,,SL006,, 16.59 , 8.660 
PN 60784,Buy,BA 001,PROD 1002,,BYR 005,,,SL009,C, 16.58 ,
PN 61281,Buy,BA 001,PROD 1003,,BYR 003,,,SL006,, 16.58 ,
PN 61282,Buy,BA 001,PROD 1003,,BYR 004,,,SL006,, 16.58 ,
PN 69900,Buy,BA 002,PROD 2004,,BYR 005,,,SL006,, 16.58 ,
PN 52998,Make,BA 001,PROD 1001,MRP 008,,WC028,,SL009,C, 16.58 , 12.696 
PN 64737,Make,BA 002,PROD 2003,MRP 003,,WC004,,SL006,, 16.58 , 18.363 
PN 64738,Make,BA 002,PROD 2003,MRP 002,,WC004,,SL006,, 16.58 , 16.154 
PN 64739,Make,BA 002,PROD 2003,MRP 007,,WC004,,SL006,, 16.58 , 15.194 
PN 64735,Make,BA 002,PROD 2003,MRP 002,,WC002,,SL006,, 16.58 , 5.000 
PN 64736,Make,BA 002,PROD 2003,MRP 005,,WC002,,SL006,, 16.58 , 11.075 
PN 64741,Buy,BA 002,PROD 2003,,BYR 009,,,SL006,, 16.57 ,
PN 69901,Buy,BA 002,PROD 2004,,BYR 004,,,SL008,, 16.57 ,
PN 53000,Make,BA 001,PROD 1001,MRP 007,,WC028,,SL009,C, 16.57 , 6.315 
PN 53001,Make,BA 001,PROD 1001,MRP 007,,WC024,,SL009,C, 16.57 , 16.024 
PN 52999,Make,BA 001,PROD 1001,MRP 002,,WC014,,SL009,, 16.57 , 10.018 
PN 64742,Make,BA 002,PROD 2003,MRP 007,,WC004,,SL006,, 16.57 , 2.837 
PN 64743,Make,BA 002,PROD 2003,MRP 003,,WC004,,SL006,, 16.57 , 8.292 
PN 64740,Make,BA 002,PROD 2003,MRP 009,,WC003,,SL009,, 16.57 , 11.762 
PN 53003,Buy,BA 001,PROD 1001,,BYR 001,,,SL008,, 16.56 ,
PN 60785,Buy,BA 001,PROD 1002,,BYR 008,,,SL008,, 16.56 ,
PN 62382,Buy,BA 002,PROD 2001,,BYR 008,,,SL006,, 16.56 ,
PN 63432,Buy,BA 002,PROD 2002,,BYR 003,,,SL006,, 16.56 ,
PN 50208,Buy,BA 003,PROD 3002,,BYR 001,,,SL008,, 16.56 ,
PN 53002,Make,BA 001,PROD 1001,MRP 007,,WC028,,SL009,C, 16.56 , 2.286 
PN 62381,Make,BA 002,PROD 2001,MRP 003,,WC012,,SL001,, 16.56 , 2.743 
PN 64744,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 16.56 , 14.956 
PN 53008,Buy,BA 001,PROD 1001,,BYR 003,,,SL006,, 16.55 ,
PN 62384,Buy,BA 002,PROD 2001,,BYR 007,,,SL008,, 16.55 ,
PN 62385,Buy,BA 002,PROD 2001,,BYR 009,,,SL008,, 16.55 ,
PN 64745,Buy,BA 002,PROD 2003,,BYR 003,,,SL006,, 16.55 ,
PN 53006,Make,BA 001,PROD 1001,MRP 009,,WC035,,SL009,C, 16.55 , 19.720 
PN 53005,Make,BA 001,PROD 1001,MRP 003,,WC018,,SL009,C, 16.55 , 16.051 
PN 53004,Make,BA 001,PROD 1001,MRP 007,,WC016,,SL009,C, 16.55 , 15.255 
PN 62383,Make,BA 002,PROD 2001,MRP 005,,WC011,,SL009,, 16.55 , 18.577 
PN 53013,Buy,BA 001,PROD 1001,,BYR 008,,,SL006,, 16.54 ,
PN 53014,Buy,BA 001,PROD 1001,,BYR 002,,,SL006,, 16.54 ,
PN 61283,Make,BA 001,PROD 1003,MRP 008,,WC039,50,SL009,A+, 16.54 , 2.745 
PN 53011,Make,BA 001,PROD 1001,MRP 009,,WC022,,SL009,C, 16.54 , 12.095 
PN 53012,Make,BA 001,PROD 1001,MRP 004,,WC018,,SL009,C, 16.54 , 16.139 
PN 53009,Make,BA 001,PROD 1001,MRP 003,,WC013,,SL009,C, 16.54 , 9.303 
PN 53010,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,C, 16.54 , 5.787 
PN 64746,Make,BA 002,PROD 2003,MRP 003,,WC003,,SL009,, 16.54 , 19.652 
PN 64747,Make,BA 002,PROD 2003,MRP 009,,WC003,,SL009,, 16.54 , 15.494 
PN 53016,Buy,BA 001,PROD 1001,,BYR 004,,,SL008,, 16.53 ,
PN 53017,Buy,BA 001,PROD 1001,,BYR 008,,,SL008,, 16.53 ,
PN 53019,Buy,BA 001,PROD 1001,,BYR 003,,,SL006,, 16.53 ,
PN 53018,Make,BA 001,PROD 1001,MRP 001,,WC017,,SL009,C, 16.53 , 3.136 
PN 53021,Buy,BA 001,PROD 1001,,BYR 001,,,SL008,, 16.52 ,
PN 53022,Buy,BA 001,PROD 1001,,BYR 005,,,SL008,, 16.52 ,
PN 53023,Buy,BA 001,PROD 1001,,BYR 005,,,SL006,, 16.52 ,
PN 60786,Buy,BA 001,PROD 1002,,BYR 004,,,SL006,, 16.52 ,
PN 62386,Buy,BA 002,PROD 2001,,BYR 008,,,SL006,, 16.52 ,
PN 64748,Buy,BA 002,PROD 2003,,BYR 007,,,SL008,, 16.52 ,
PN 50209,Buy,BA 003,PROD 3002,,BYR 008,,,SL008,, 16.52 ,
PN 61284,Make,BA 001,PROD 1003,MRP 006,,WC039,100,SL009,B, 16.52 , 8.752 
PN 53020,Make,BA 001,PROD 1001,MRP 006,,WC028,,SL009,C, 16.52 , 17.717 
PN 64749,Make,BA 002,PROD 2003,MRP 002,,WC004,,SL006,, 16.52 , 5.428 
PN 64750,Buy,BA 002,PROD 2003,,BYR 002,,,SL006,, 16.51 ,
PN 70724,Buy,,,,BYR 005,,,,, 16.51 ,
PN 53024,Make,BA 001,PROD 1001,MRP 004,,WC021,,SL009,C, 16.51 , 18.171 
PN 69902,Make,BA 002,PROD 2004,MRP 008,,WC007,,SL009,, 16.51 , 6.737 
PN 64752,Make,BA 002,PROD 2003,MRP 003,,WC004,,SL006,, 16.51 , 9.928 
PN 64751,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 16.51 , 15.335 
PN 53032,Buy,BA 001,PROD 1001,,BYR 009,,,SL006,, 16.50 ,
PN 53033,Buy,BA 001,PROD 1001,,BYR 003,,,SL006,, 16.50 ,
PN 53034,Buy,BA 001,PROD 1001,,BYR 004,,,SL006,, 16.50 ,
PN 64753,Buy,BA 002,PROD 2003,,BYR 008,,,SL008,, 16.50 ,
PN 50210,Buy,BA 003,PROD 3002,,BYR 001,,,,, 16.50 ,
PN 53029,Make,BA 001,PROD 1001,MRP 007,,WC015,,SL009,C, 16.50 , 17.089 
PN 53030,Make,BA 001,PROD 1001,MRP 006,,WC015,,SL009,C, 16.50 , 9.554 
PN 53031,Make,BA 001,PROD 1001,MRP 006,,WC015,,SL006,, 16.50 , 8.259 
PN 64754,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 16.50 , 5.132 
PN 53035,Buy,BA 001,PROD 1001,,BYR 001,,,SL009,, 16.49 ,
PN 50211,Buy,BA 003,PROD 3002,,BYR 003,,,,, 16.49 ,
PN 61285,Make,BA 001,PROD 1003,MRP 003,,WC039,,SL009,, 16.49 , 15.328 
PN 53041,Make,BA 001,PROD 1001,MRP 007,,WC019,,SL009,C, 16.49 , 6.054 
PN 53037,Make,BA 001,PROD 1001,MRP 009,,WC016,,SL009,C, 16.49 , 4.094 
PN 53038,Make,BA 001,PROD 1001,MRP 009,,WC015,,SL009,NPI, 16.49 , 13.981 
PN 53042,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,A, 16.49 , 18.716 
PN 53043,Buy,BA 001,PROD 1001,,BYR 009,,,SL009,, 16.48 ,
PN 61286,Buy,BA 001,PROD 1003,,BYR 005,,,SL006,, 16.48 ,
PN 50212,Buy,BA 003,PROD 3002,,BYR 003,,,SL006,, 16.48 ,
PN 50213,Buy,BA 003,PROD 3002,,BYR 008,,,SL008,, 16.48 ,
PN 53044,Make,BA 001,PROD 1001,MRP 001,,WC034,,SL009,B, 16.48 , 17.083 
PN 64758,Make,BA 002,PROD 2003,MRP 002,,WC004,,SL006,, 16.48 , 11.446 
PN 64755,Make,BA 002,PROD 2003,MRP 009,,WC003,,SL009,, 16.48 , 9.072 
PN 64756,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 16.48 , 7.255 
PN 64757,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 16.48 , 6.545 
PN 53047,Buy,BA 001,PROD 1001,,BYR 003,,,SL008,, 16.47 ,
PN 53048,Buy,BA 001,PROD 1001,,BYR 002,,,SL006,, 16.47 ,
PN 69903,Buy,BA 002,PROD 2004,,BYR 003,,,SL008,, 16.47 ,
PN 69904,Buy,BA 002,PROD 2004,,BYR 007,,,SL008,, 16.47 ,
PN 53046,Make,BA 001,PROD 1001,MRP 006,,WC034,,SL009,B, 16.47 , 18.904 
